name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
Les anges de Boston;1999;16;108;['Action', 'Thriller'];7.7;44;Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.;['Troy Duffy'];['Willem Dafoe', 'Sean Patrick Flanery', 'Norman Reedus', 'David Della Rocco']
Fist of Legend: La Nouvelle Fureur de Vaincre;1994;Tous publics;103;['Action', 'Drama'];7.5;0;In 1937, a Chinese martial artist returns to Shanghai to find his teacher dead and his school harassed by the Japanese.;['Gordon Chan'];['Jet Li', 'Shinobu Nakayama', 'Siu-Ho Chin', 'Billy Chow']
Mission: Impossible - Protocole fantome;2011;Tous publics;132;['Action', 'Thriller'];7.4;73;The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.;['Brad Bird'];['Tom Cruise', 'Jeremy Renner', 'Simon Pegg', 'Paula Patton']
L'odyssee du sous-marin Nerka;1958;Pas disponible;93;['Action', 'Drama', 'War'];7.3;62;A U.S. sub commander, obsessed with sinking a certain Japanese ship, butts heads with his first officer and crew.;['Robert Wise'];['Clark Gable', 'Burt Lancaster', 'Jack Warden', 'Brad Dexter']
Old Henry;2021;Pas disponible;99;['Action', 'Drama', 'Western'];7.2;69;An action western about a farmer who takes in an injured man with a satchel of cash. When a posse comes for the money, he must decide who to trust. Defending a siege, he reveals a gunslinging talent calling his true identity into question.;['Potsy Ponciroli'];['Tim Blake Nelson', 'Scott Haze', 'Gavin Lewis', 'Trace Adkins']
Mosul;2019;16;86;['Action', 'Drama', 'War'];7.1;71;A police unit from Mosul fight to liberate the Iraqi city from thousands of ISIS militants.;['Matthew Michael Carnahan'];['Waleed Elgadi', 'Suhail Dabbach', 'Adam Bessa', 'Ishaq Elias']
Rocky Balboa;2006;Tous publics;102;['Action', 'Drama', 'Sport'];7.1;63;Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon.;['Sylvester Stallone'];['Sylvester Stallone', 'Antonio Tarver', 'Milo Ventimiglia', 'Burt Young']
Chungkai, le camp des survivants;2001;12;125;['Action', 'Drama', 'War'];7.0;0;"A true story about four Allied POWs who endure harsh treatment from their Japanese captors during World War II while being forced to build a railroad through the Burmese jungle. Ultimately ...                See full summary »
";['David L. Cunningham'];['Robert Carlyle', 'Kiefer Sutherland', 'Ciarán McMenamin', 'Mark Strong']
Kill the Gringo;2012;Accord parental;96;['Action', 'Drama', 'Thriller'];6.9;60;A career criminal nabbed by Mexican authorities is placed in a tough prison where he learns to survive with the help of a young boy.;['Adrian Grunberg'];['Mel Gibson', 'Kevin Balmore', 'Daniel Giménez Cacho', 'Jesús Ochoa']
Unstoppable;2010;Tous publics;98;['Action', 'Thriller'];6.8;69;With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe.;['Tony Scott'];['Denzel Washington', 'Chris Pine', 'Rosario Dawson', 'Ethan Suplee']
Danger Close: The Battle of Long Tan;2019;R;118;['Action', 'Drama', 'War'];6.8;0;In August 1966, in a Vietnamese rubber plantation called Long Tan, 108 young and inexperienced Australian and New Zealand soldiers are fighting for their lives against 2500 North Vietnamese and Viet Cong soldiers.;['Kriv Stenders'];['Travis Fimmel', 'Toby Blome', 'Alexander England', 'Aaron Glenane']
Young Guns;1988;Tous publics;107;['Action', 'Western'];6.8;50;A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.;['Christopher Cain'];['Emilio Estevez', 'Kiefer Sutherland', 'Lou Diamond Phillips', 'Charlie Sheen']
Merantau;2009;R;134;['Action', 'Drama'];6.7;0;A young man from the countryside uses his skills in silat martial arts to survive the slave trade.;['Gareth Evans'];['Iko Uwais', 'Sisca Jessica', 'Christine Hakim', 'Mads Koudal']
Le Grand Raid;2005;R;132;['Action', 'Drama', 'War'];6.6;48;Taking place towards the end of WWII, 500 American Soldiers have been entrapped in a camp for 3 years. Beginning to give up hope they will ever be rescued, a group of Rangers goes on a dangerous mission to try and save them.;['John Dahl'];['Benjamin Bratt', 'Joseph Fiennes', 'James Franco', 'Robert Mammone']
U-571;2000;Tous publics;116;['Action', 'War'];6.6;62;A German submarine is boarded by disguised American submariners trying to capture their Enigma cipher machine.;['Jonathan Mostow'];['Matthew McConaughey', 'Bill Paxton', 'Harvey Keitel', 'Jon Bon Jovi']
The Legend of Billie Jean;1985;Tous publics;96;['Action', 'Drama'];6.6;45;A Texas teenager cuts her hair short and becomes an outlaw martyr with her brother and friends.;['Matthew Robbins'];['Helen Slater', 'Christian Slater', 'Keith Gordon', 'Richard Bradford']
Ne jamais reculer;2008;Tous publics;113;['Action', 'Drama', 'Sport'];6.5;39;A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club, and meets a classmate who begins to coerce him into fighting.;['Jeff Wadlow'];['Sean Faris', 'Djimon Hounsou', 'Amber Heard', 'Cam Gigandet']
Piege en haute mer;1992;Tous publics;103;['Action', 'Thriller'];6.5;58;An ex-Navy Seal turned cook is the only person who can stop a group of terrorists when they seize control of a U.S. battleship.;['Andrew Davis'];['Steven Seagal', 'Gary Busey', 'Tommy Lee Jones', 'Erika Eleniak']
Young Guns II;1990;Tous publics;104;['Action', 'Western'];6.5;47;In 1881, cattle baron John Chisum pays a bounty to Patrick Floyd Garrett to kill outlaw Billy the Kid.;['Geoff Murphy'];['Emilio Estevez', 'Kiefer Sutherland', 'Lou Diamond Phillips', 'Christian Slater']
Best of the Best;1989;Tous publics;97;['Action', 'Drama', 'Sport'];6.4;26;A team from the United States is going to compete against Korea in a Tae Kwon Do tournament. The team consists of fighters from all over the country - can they overcome their rivalry and work together to win?;['Robert Radler'];['Eric Roberts', 'James Earl Jones', 'Sally Kirkland', 'Phillip Rhee']
L'ouragan vient de Navarone;1978;Tous publics;118;['Action', 'Drama', 'War'];6.4;42;During World War II, several oddly assorted military experts are teamed in a mission to raid and destroy a bridge vital to enemy strategy.;['Guy Hamilton'];['Harrison Ford', 'Robert Shaw', 'Edward Fox', 'Franco Nero']
